timestamps,datetime,carbon_intensity_avg
1660089600,2022-08-10 00:00:00+00:00,259.5
1660093200,2022-08-10 01:00:00+00:00,273.0
1660096800,2022-08-10 02:00:00+00:00,299.0
1660100400,2022-08-10 03:00:00+00:00,325.0
1660104000,2022-08-10 04:00:00+00:00,326.5
1660107600,2022-08-10 05:00:00+00:00,325.0
1660111200,2022-08-10 06:00:00+00:00,330.5
1660114800,2022-08-10 07:00:00+00:00,329.0
1660118400,2022-08-10 08:00:00+00:00,326.0
1660122000,2022-08-10 09:00:00+00:00,323.0
1660125600,2022-08-10 10:00:00+00:00,324.5
1660129200,2022-08-10 11:00:00+00:00,330.5
1660132800,2022-08-10 12:00:00+00:00,336.0
1660136400,2022-08-10 13:00:00+00:00,333.5
1660140000,2022-08-10 14:00:00+00:00,314.5
1660143600,2022-08-10 15:00:00+00:00,274.5
1660147200,2022-08-10 16:00:00+00:00,244.0
1660150800,2022-08-10 17:00:00+00:00,230.5
1660154400,2022-08-10 18:00:00+00:00,226.0
