timestamps,datetime,carbon_intensity_avg
1660107600,2022-08-10 05:00:00+00:00,292.0
1660111200,2022-08-10 06:00:00+00:00,286.0
1660114800,2022-08-10 07:00:00+00:00,273.0
1660118400,2022-08-10 08:00:00+00:00,260.0
1660122000,2022-08-10 09:00:00+00:00,243.0
1660125600,2022-08-10 10:00:00+00:00,239.0
1660129200,2022-08-10 11:00:00+00:00,230.0
1660132800,2022-08-10 12:00:00+00:00,226.0
1660136400,2022-08-10 13:00:00+00:00,223.0
1660140000,2022-08-10 14:00:00+00:00,234.0
1660143600,2022-08-10 15:00:00+00:00,230.0
1660147200,2022-08-10 16:00:00+00:00,229.0
1660150800,2022-08-10 17:00:00+00:00,229.0
1660154400,2022-08-10 18:00:00+00:00,232.0
