timestamps,datetime,carbon_intensity_avg
1660032000,2022-08-09 08:00:00+00:00,30.5
1660035600,2022-08-09 09:00:00+00:00,31.0
1660039200,2022-08-09 10:00:00+00:00,44.666666666666664
1660042800,2022-08-09 11:00:00+00:00,59.5
1660046400,2022-08-09 12:00:00+00:00,63.666666666666664
1660050000,2022-08-09 13:00:00+00:00,70.0
1660053600,2022-08-09 14:00:00+00:00,77.0
1660057200,2022-08-09 15:00:00+00:00,83.5
1660060800,2022-08-09 16:00:00+00:00,88.5
1660064400,2022-08-09 17:00:00+00:00,93.5
1660068000,2022-08-09 18:00:00+00:00,96.5
1660071600,2022-08-09 19:00:00+00:00,98.0
1660075200,2022-08-09 20:00:00+00:00,101.5
1660078800,2022-08-09 21:00:00+00:00,103.5
1660082400,2022-08-09 22:00:00+00:00,104.5
1660086000,2022-08-09 23:00:00+00:00,105.0
1660089600,2022-08-10 00:00:00+00:00,104.0
1660093200,2022-08-10 01:00:00+00:00,103.0
1660096800,2022-08-10 02:00:00+00:00,102.0
1660100400,2022-08-10 03:00:00+00:00,91.5
1660104000,2022-08-10 04:00:00+00:00,67.5
1660107600,2022-08-10 05:00:00+00:00,52.666666666666664
1660111200,2022-08-10 06:00:00+00:00,23.0
1660114800,2022-08-10 07:00:00+00:00,24.0
1660118400,2022-08-10 08:00:00+00:00,24.5
1660122000,2022-08-10 09:00:00+00:00,26.5
1660125600,2022-08-10 10:00:00+00:00,32.5
1660129200,2022-08-10 11:00:00+00:00,43.0
1660132800,2022-08-10 12:00:00+00:00,54.0
1660136400,2022-08-10 13:00:00+00:00,60.5
1660140000,2022-08-10 14:00:00+00:00,68.0
1660143600,2022-08-10 15:00:00+00:00,75.5
1660147200,2022-08-10 16:00:00+00:00,81.5
1660150800,2022-08-10 17:00:00+00:00,84.66666666666667
