,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
34,326224.3333333333,506468.0,297358.6666666667,64053.66666666666,325420.6666666667,3777550.6666666665,362634.0,67314.0,989906.6666666666,425572.6666666667,2287650.6666666665,513148.6666666667,131488.33333333334,428447.6666666667,302932.0,1907065.6666666667,130573.0,31070.666666666668,57809.66666666666,35642.0,1098268.6666666667,802900.6666666666,97457.33333333331,626219.0,644847.0,74237.0,151468.66666666666
35,349835.0,551797.0,316968.0,67125.0,350687.0,3998948.0,389802.0,71430.0,1089598.0,446753.0,2435106.0,559269.0,142892.0,459331.0,315095.0,2074712.0,138366.0,34470.0,62870.0,37908.0,1096644.0,869897.0,101412.0,669040.0,691414.0,80379.0,164199.0
36,375959.0,598204.0,340981.0,71700.0,384196.0,4265209.0,424242.0,80624.0,1237316.0,461467.0,2610786.0,600394.0,155716.0,484903.0,377061.0,2304501.0,141624.0,38184.0,64135.0,40802.0,1186900.0,979424.0,110293.0,703606.0,747074.0,86003.0,182269.0
37,399036.0,661593.0,371524.0,74845.0,406682.0,4599534.0,462499.0,88424.0,1474845.0,493596.0,2856734.0,646379.0,182967.0,527153.0,395956.0,2541398.0,159822.0,40600.0,72959.0,45846.0,1247588.0,1104401.0,127454.0,754872.0,818688.0,97678.0,197561.0
38,409731.0,685177.0,384101.0,75806.0,436447.0,4807986.0,493128.0,91052.0,1619164.0,508004.0,2977590.0,695448.0,190336.0,536133.0,450563.0,2731349.0,167126.0,42028.0,73553.0,46198.0,1365484.0,1157134.0,141523.0,764091.0,884399.0,101483.0,197253.0
39,430186.0,753470.0,401563.0,77178.0,449286.0,4985173.0,511441.0,94713.0,1740945.0,514450.0,3163181.0,736958.0,205268.0,573347.0,551157.0,2917732.0,170340.0,42678.0,78463.0,47709.0,1444855.0,1201222.0,152269.0,830580.0,937397.0,105415.0,214550.0
40,445241.0,780804.0,389973.0,78677.0,471259.0,5206447.0,552279.0,102456.0,1884172.0,533698.0,3371966.0,778405.0,216753.0,584017.0,600512.0,3206063.0,182304.0,44286.0,80390.0,50236.0,1516737.0,1248411.0,174205.0,875439.0,987536.0,111773.0,227881.0
41,450109.0,848597.0,418323.0,85575.0,496074.0,5438968.0,572163.0,102083.0,1978068.0,552701.0,3567353.0,805184.0,231640.0,610947.0,633757.0,3359685.0,187286.0,47672.0,80985.0,51909.0,1618663.0,1343315.0,193655.0,923259.0,1033710.0,120667.0,243584.0
42,457361.0,884902.0,433904.0,82274.0,524584.0,5731006.0,597133.0,105918.0,2169652.0,557587.0,4153023.0,842174.0,246109.0,632057.0,707561.0,3545655.0,200036.0,56688.0,84441.0,49468.0,1722127.0,1382364.0,217839.0,921393.0,1105562.0,120322.0,250382.0
43,480575.0,929898.0,415924.0,90117.0,539969.0,6185318.0,632152.0,108946.0,2337466.0,577772.0,4351623.0,878633.0,263207.0,649143.0,765833.0,3818656.0,203276.0,56361.0,87461.0,55864.0,1780366.0,1489762.0,263887.0,926028.0,1160899.0,129722.0,262321.0
