,AD,AL,AM,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GE,GI,GR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MC,MD,MK,MT,NL,NO,PL,PT,RO,RU,SE,SI,SK,SM,TR,UA,VA
30,1801.0,24920.0,32683.0,231080.0,39430.0,324192.0,210993.0,44459.0,189698.0,43615.0,222920.0,2764191.0,255291.0,47664.0,610927.0,334672.0,972.0,1637073.0,2288556.0,59306.0,915.0,349603.0,84031.0,301636.0,374316.0,122025.0,1203002.0,1199.0,95051.0,20358.0,35355.0,1584.0,19705.0,33876.0,23934.0,899666.0,231034.0,510778.0,83082.0,425869.0,1255382.0,460998.0,50440.0,97942.0,513.0,1195779.0,207741.0,13.0
31,1848.0,30701.0,38991.0,259408.0,44838.0,369975.0,236830.0,53576.0,221756.0,50218.0,255906.0,3074475.0,285178.0,54205.0,732552.0,351755.0,1232.0,1826074.0,2616653.0,73182.0,1730.0,395849.0,100964.0,338654.0,371129.0,126441.0,1401912.0,2380.0,106788.0,25454.0,43333.0,1477.0,24113.0,39981.0,26659.0,1015979.0,255514.0,618219.0,85258.0,475582.0,1337685.0,504895.0,59751.0,115657.0,472.0,1453640.0,238322.0,44.0
32,1354.0,34035.0,44673.0,279003.0,50546.0,415810.0,258140.0,55282.0,226007.0,57911.0,274888.0,3334756.0,308298.0,59082.0,790524.0,383212.0,1713.0,1992740.0,2827365.0,79242.0,1670.0,420908.0,108681.0,366681.0,278606.0,141559.0,1571773.0,2027.0,114987.0,24272.0,47689.0,2320.0,25209.0,42013.0,31110.0,1101518.0,280310.0,668908.0,89548.0,540577.0,1391783.0,551713.0,61953.0,126008.0,768.0,1689818.0,256103.0,23.0
33,1813.0,39632.66666666666,47356.0,302613.6666666667,55992.66666666666,461139.0,277749.3333333333,60760.333333333336,249307.66666666663,60982.333333333336,300154.3333333333,3556153.333333333,335466.0,63198.0,890215.3333333334,404392.3333333333,1601.6666666666667,2140195.333333333,3235471.6666666665,88628.66666666667,1984.0,467028.3333333333,120084.66666666669,397564.3333333333,290769.0,145111.0,1739419.3333333333,2211.333333333333,122780.0,27671.33333333333,52749.333333333336,2447.0,27219.33333333333,45005.333333333336,33376.0,1099893.3333333333,298926.3333333333,735904.3333333334,93502.66666666669,583398.0,1425915.6666666667,598280.0,68095.0,138738.33333333334,725.3333333333334,1930026.6666666667,275413.6666666667,62.0
34,2272.0,45230.333333333336,50039.0,326224.3333333333,61439.333333333336,506468.0,297358.6666666667,66238.66666666667,272608.3333333333,64053.66666666666,325420.6666666667,3777550.6666666665,362634.0,67314.0,989906.6666666666,425572.6666666667,1490.3333333333333,2287650.6666666665,3643578.3333333335,98015.33333333331,2298.0,513148.6666666667,131488.33333333334,428447.6666666667,302932.0,148663.0,1907065.6666666667,2395.6666666666665,130573.0,31070.666666666668,57809.66666666666,2574.0,29229.666666666668,47997.66666666666,35642.0,1098268.6666666667,317542.6666666667,802900.6666666666,97457.33333333331,626219.0,1460048.3333333333,644847.0,74237.0,151468.66666666666,682.6666666666666,2170235.333333333,294724.3333333333,101.0
35,2731.0,50828.0,52722.0,349835.0,66886.0,551797.0,316968.0,71717.0,295909.0,67125.0,350687.0,3998948.0,389802.0,71430.0,1089598.0,446753.0,1379.0,2435106.0,4051685.0,107402.0,2612.0,559269.0,142892.0,459331.0,315095.0,152215.0,2074712.0,2580.0,138366.0,34470.0,62870.0,2701.0,31240.0,50990.0,37908.0,1096644.0,336159.0,869897.0,101412.0,669040.0,1494181.0,691414.0,80379.0,164199.0,640.0,2410444.0,314035.0,140.0
36,3688.0,57329.0,58750.0,375959.0,76668.0,598204.0,340981.0,76454.0,324763.0,71700.0,384196.0,4265209.0,424242.0,80624.0,1237316.0,461467.0,1720.0,2610786.0,4430182.0,120722.0,2784.0,600394.0,155716.0,484903.0,377061.0,152483.0,2304501.0,2516.0,141624.0,38184.0,64135.0,2586.0,33739.0,55265.0,40802.0,1186900.0,374240.0,979424.0,110293.0,703606.0,1540665.0,747074.0,86003.0,182269.0,833.0,2642829.0,349049.0,290.0
37,3930.0,71791.0,65947.0,399036.0,90170.0,661593.0,371524.0,81867.0,349667.0,74845.0,406682.0,4599534.0,462499.0,88424.0,1474845.0,493596.0,1519.0,2856734.0,4810731.0,132173.0,4135.0,646379.0,182967.0,527153.0,395956.0,160383.0,2541398.0,2498.0,159822.0,40600.0,72959.0,3341.0,37185.0,65660.0,45846.0,1247588.0,410462.0,1104401.0,127454.0,754872.0,1605253.0,818688.0,97678.0,197561.0,1131.0,2845080.0,376321.0,599.0
38,3556.0,84102.0,69463.0,409731.0,98826.0,685177.0,384101.0,82688.0,377539.0,75806.0,436447.0,4807986.0,493128.0,91052.0,1619164.0,508004.0,1954.0,2977590.0,5258858.0,131441.0,3827.0,695448.0,190336.0,536133.0,450563.0,169803.0,2731349.0,2058.0,167126.0,42028.0,73553.0,3387.0,42450.0,72383.0,46198.0,1365484.0,436410.0,1157134.0,141523.0,764091.0,1638413.0,884399.0,101483.0,197253.0,1286.0,2942776.0,389736.0,245.0
39,3403.0,88239.0,67388.0,430186.0,104236.0,753470.0,401563.0,87870.0,397552.0,77178.0,449286.0,4985173.0,511441.0,94713.0,1740945.0,514450.0,2700.0,3163181.0,5640726.0,144641.0,4585.0,736958.0,205268.0,573347.0,551157.0,174557.0,2917732.0,2854.0,170340.0,42678.0,78463.0,3828.0,41091.0,77694.0,47709.0,1444855.0,458812.0,1201222.0,152269.0,830580.0,1648256.0,937397.0,105415.0,214550.0,1700.0,3111576.0,402160.0,558.0
