,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
63,147263.0,40760.0,333741.0,155032.0,2677203.0,359448.0,239811.0,34788.0,1099545.0,1814847.0,145088.0,26547.0,1315344.0,310195.0,153750.0,309190.0,175649.0,252007.0,114791.0,871459.0,653429.0,577893.0,243542.0,92895.0,343304.0,29406.0,74386.0,172401.0,106780.0,1094738.0,48233.0,1730271.0,591082.0,10507.0,874940.0,177334.0,220421.0,956632.0,108829.0,294881.0,40286.0,345960.0,2513266.0,121016.0,50141.0,2275155.0,1555526.0,56012.0,241086.0,20216.0
64,152022.0,36700.0,327069.0,162493.0,2675663.0,363542.0,260239.0,38261.0,1159374.0,1807656.0,134444.0,28511.0,1230383.0,333193.0,121004.0,323382.0,188013.0,260709.0,122756.0,943886.0,709653.0,613482.0,259215.0,100084.0,358268.0,29504.0,83283.0,168024.0,115756.0,1182284.0,49192.0,1851584.0,607688.0,11674.0,926299.0,178967.0,214118.0,1021586.0,115671.0,297718.0,39827.0,365440.0,2554872.0,118435.0,51629.0,2273341.0,1512064.0,59184.0,264378.0,19824.0
65,156904.0,35572.0,327400.0,168664.0,2818591.0,373552.0,270898.0,39975.0,1231838.0,1883036.0,124092.0,28598.0,1191692.0,357723.0,138859.0,340222.0,193286.0,271379.0,127363.0,983883.0,736537.0,645137.0,276142.0,107200.0,367994.0,29594.0,80425.0,165104.0,125074.0,1259394.0,53093.0,1964937.0,645277.0,11843.0,985852.0,182195.0,206537.0,1080493.0,121422.0,316637.0,41289.0,385220.0,2410599.0,124479.0,55664.0,2306834.0,1451691.0,64215.0,283285.0,20143.0
66,172902.0,35662.0,323980.0,182474.0,2772301.0,388005.0,288003.0,40665.0,1319222.0,2023211.0,114219.0,29952.0,1239385.0,376729.0,122077.0,353873.0,206141.0,287526.0,138604.0,1013275.0,791551.0,685471.0,293017.0,111740.0,392052.0,27836.0,90074.0,162129.0,130455.0,1327571.0,51574.0,2069476.0,691305.0,11045.0,1044317.0,169657.0,201148.0,1145410.0,132243.0,318346.0,45110.0,407460.0,2450160.0,121252.0,60772.0,2371563.0,1447055.0,68890.0,306305.0,20241.0
67,198918.0,34250.0,337148.0,199016.0,2766286.0,422188.0,322308.0,46055.0,1480632.0,2323699.0,110095.0,30563.0,1580015.0,416186.0,192646.0,385315.0,227042.0,319731.0,149626.0,1153572.0,876918.0,772947.0,330194.0,125348.0,437414.0,33813.0,105415.0,162337.0,140646.0,1442778.0,55409.0,2298048.0,774609.0,15589.0,1140523.0,166173.0,210744.0,1267615.0,142242.0,368440.0,46914.0,460266.0,2641884.0,129718.0,60290.0,2511499.0,1545987.0,72426.0,355874.0,23758.0
68,208452.0,31254.0,341039.0,203938.0,2819199.0,432854.0,332832.0,48646.0,1564867.0,2414774.0,103303.0,31604.0,1562181.0,430657.0,153058.0,407080.0,231640.0,333437.0,157094.0,1197616.0,908728.0,806490.0,355774.0,129783.0,462406.0,32107.0,106642.0,154528.0,141748.0,1545872.0,58408.0,2406530.0,805331.0,15037.0,1195892.0,220625.0,209872.0,1338395.0,148499.0,399618.0,53882.0,486092.0,2829145.0,127912.0,68372.0,2558809.0,1588409.0,76861.0,372215.0,25950.0
69,217350.0,30255.0,350955.0,220268.0,2576627.0,459124.0,355918.0,53146.0,1688782.0,2429302.0,92813.0,34263.0,1735121.0,460449.0,163368.0,426425.0,250884.0,354045.0,164662.0,1286452.0,969151.0,860777.0,378724.0,143711.0,496225.0,37362.0,119153.0,157898.0,151916.0,1606449.0,62575.0,2544053.0,848871.0,16380.0,1277912.0,220065.0,216679.0,1417071.0,160125.0,409935.0,56806.0,511414.0,3125028.0,132746.0,70008.0,2656036.0,1607286.0,82397.0,393176.0,24234.0
70,234113.0,27072.0,356213.0,229809.0,2766566.0,488985.0,370295.0,53075.0,1801743.0,2493767.0,90825.0,33074.0,1773220.0,478415.0,177226.0,463407.0,265007.0,379807.0,170347.0,1340847.0,1012067.0,899145.0,410450.0,150957.0,524580.0,36013.0,126940.0,160699.0,156338.0,1691209.0,64192.0,2709863.0,896795.0,18288.0,1333848.0,230081.0,211346.0,1510155.0,167687.0,428552.0,61892.0,535992.0,3115187.0,138842.0,71855.0,2708896.0,1705414.0,81069.0,434728.0,27443.0
71,251675.0,27164.0,372841.0,242894.0,2751865.0,539662.0,385951.0,56702.0,1931512.0,2736406.0,83937.0,34379.0,1939932.0,497298.0,238915.0,494476.0,275000.0,404163.0,175525.0,1442510.0,1069745.0,957475.0,442711.0,163456.0,558764.0,41030.0,134051.0,158119.0,169046.0,1802190.0,72726.0,2867197.0,959786.0,19895.0,1412183.0,250832.0,218911.0,1586802.0,172021.0,462633.0,64876.0,581220.0,3309981.0,143621.0,79631.0,2908369.0,1580129.0,88894.0,458751.0,27699.0
72,269961.0,26985.0,387299.0,258443.0,2889341.0,571983.0,409618.0,58747.0,2009265.0,2744117.0,74530.0,36706.0,2013448.0,538143.0,221764.0,515361.0,298429.0,427927.0,176918.0,1491281.0,1127975.0,1030735.0,480093.0,171336.0,605017.0,43143.0,144446.0,156530.0,171455.0,1892636.0,75514.0,2975378.0,1020380.0,21446.0,1515017.0,257923.0,220875.0,1690894.0,183500.0,483714.0,68660.0,615323.0,3575998.0,154014.0,82221.0,2947910.0,1688185.0,96745.0,481632.0,30038.0
