,New Brunswick,Washington,California,Virginia,Ohio,Louisiana,Wisconsin,Mississippi,Texas,Delaware,Ontario,Alberta,North Carolina,Massachusetts,Connecticut,Florida,Colorado,Michigan,Indiana,Iowa,Saskatchewan,Oklahoma,Tennessee,Georgia,Maine,Nebraska,New York,Idaho,British Columbia,Manitoba,New Jersey,Minnesota,Oregon,Pennsylvania,Utah,Arizona,Rhode Island,Quebec,Newfoundland and Labrador,New Mexico,Arkansas,Maryland,Illinois,Kentucky,District of Columbia,New Hampshire,Missouri,Nova Scotia,Nevada,Kansas,North Dakota,Vermont,South Carolina,Puerto Rico,Alaska,Hawaii,West Virginia,Montana,Northwest Territories,South Dakota,Alabama,Wyoming,Yukon,"Washington, D.C.",North Virginia
Minnesota,,2.78170625,39.7566875,,,30.70623,19.979515909090907,,43.57585,,34.00143,,,41.008685722222225,,,,37.201695,25.478745,,,,,41.1677,,,,,,39.90365283333333,20.536475625,13.288903200000002,,,,,,,,,,,14.165351285714284,,,,32.962394375,,,,37.552565,,,,,,,,,37.74325,,,,,
Oregon,,28.871766515151517,34.08753634814815,84.9957779579208,88.41977366216216,,,,68.33862001644736,,77.77440303688523,,,9.259815714285713,,,44.595754,,,65.14157585294119,,,,,,,,,,,18.91531761111111,,1927.8924025289257,28.735768,42.46822851923077,51.927806545454565,,85.84115187313432,,,,,63.32138848387097,,,,,,37.45131733333333,4.97992,,,92.69685983333333,,,,,,,,,,,84.19645018518518,90.79360877777779
Pennsylvania,,,58.99654533333333,21.372458342857144,,33.62032,,,25.85810711764706,,,,15.584275,27.0414008,,54.19401,33.4494061875,,,,,,,,,,22.621886085714287,,,,15.600586897959182,,28.735768,10.564616052631582,,,,,,,,,18.35937,,5.057265,,,,,,,,,,,,,,,,,,,19.401143454545455,
Utah,,39.62128923076922,24.69355111111111,66.12027510714286,70.85294592857143,12.7681675,,,44.47002646428571,,69.74207214285714,,,64.639281,,,,,,52.70669555357142,,,,,,,,,,,38.535176,,42.46822851923077,,4756.962962962963,35.931092846153845,,74.00924939285714,,,,,50.74448807142858,,,,,,,,,,75.51487842857144,,,,,,,,,,,69.38515571428572,69.09978607142857
Arizona,,49.34335774025974,36.228970969072165,72.96698533333334,73.15902145945947,7.101635,,,48.81756046666666,,77.40199569354839,,,30.5848572,,,44.2933055,,,69.99797701428571,,9.571593333333334,,12.590879866666667,,,28.713175,49.01739,,,87.735025,,51.927806545454565,,35.931092846153845,2124.401882509091,,85.82947967647058,,,,,61.161079829787234,,,,,,33.3521758,,,,76.0440319117647,,,,,,,,,,,80.28925278571428,66.90796185714287
Rhode Island,,,33.483775,,,,,,,,,,,,,,,,,,,,,10.8658825,,,15.65056,,,,13.56657,,,,,,,,,,,,32.8557,,,,,,,,,,,,,,,,,,,,,,
Quebec,,78.79147652395208,82.29147441197185,29.52274969683258,41.922737352272726,,,,59.5657369775281,,29.479662805555552,,,33.52082342857143,,,42.98969125,,,44.55690745744681,,,,,,,13.736978333333333,,,,14.48547,,85.84115187313432,,74.00924939285714,85.82947967647058,,1449.5486598280543,,,,,36.955552481132074,,,,,,85.084933,,,,40.99359906521739,,,,,,,,,,,39.234872351351356,33.050447250000005
Newfoundland and Labrador,,,78.253695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,,,,,,50.444615,,,,,,,,89.769635,,,40.029315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,,,20.97059714285714,,,,,,,,,,,19.893345,,,,,,,,,,,,,,,,,50.037323333333326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,38.401505,36.440579400000004,9.677568701754387,,,,,7.485428555555556,,,,,17.532359636363637,,,4.3269874999999995,,,,,,,19.69282,,,10.848412285714284,,,,11.7102608,,,,,,,,,,,3.173356777777778,27.301125666666668,,,,,,,,,,,,,,,,,,,,,4.359371666666667,
Illinois,,58.23140903092783,60.89876748444445,33.69540873571428,30.084088963636365,,22.839286105263152,30.134856666666668,43.00424579130435,,31.697957483443705,,31.64043625,40.284194423076926,,34.506221,24.538576772727275,22.194050161290324,17.30563875,22.691992681818185,,,,,,55.884749375,40.22279199999999,69.46049433333333,,26.79721166666667,14.290543972972973,14.165351285714284,63.32138848387097,18.35937,50.74448807142858,61.161079829787234,32.8557,36.955552481132074,,,,27.301125666666668,2642.549914336,,,50.03620807142857,17.390723225806454,,63.237986500000005,16.6491685,,,39.537275375,,95.0949,,,,,35.408775,28.914135,,,32.08977603030303,35.875797075757575
Kentucky,,,,47.250095,,,,,,,,,,127.95751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,,,,13.811798149999998,,,,,9.14982,,,,,5.606025,,27.041405,9.679594750000001,,,,,,,,,,6.861736250000001,,,,12.20386,,,5.057265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.766855,
New Hampshire,,5.3852975,,22.334017599999996,,,,,,,,,,25.43666557894737,,,30.839823000000003,,,,,,,,,,26.44754842857143,,,,27.07030175,,,,,,,,,,,,50.03620807142857,,,12.171456428571426,,,,,,,,,,,,,,,,,,50.85799,
Missouri,,,21.760388000000003,,,56.1338425,18.41982,,42.8093925,,,,18.106824000000003,32.897193,,,2171.570955,,,,,,,,,,,,,,,32.962394375,,,,,,,,,,,17.390723225806454,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,,,,,,,,,,,,,,,56.084825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,,35.56476,31.218176666666665,76.17639700000001,81.610122,,,,51.99388058333334,,85.70408666666667,,,18.307315250000002,,,,,,66.25462466666667,,,,9.20352175,,,,,,,,,37.45131733333333,,,33.3521758,,85.084933,,,,,63.237986500000005,,,,,,6392.076923076923,,,,81.63777091666667,,,,,,,,,,,75.9380695,74.21246716666667
Kansas,,,0.5140750000000001,36.6534748,,,,,6.538837833333333,,,,,4.887958,,,5.080955,,,,,,,8.430364333333333,,,1.1873285,,,,,,4.97992,,,,,,,,,,16.6491685,,,,,,,29.807388333333336,,,,,,,,,,36.138415,,,,34.47186,
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.552565,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.740168833333334,,,,,
Vermont,,28.65353914285714,,30.491565714285716,,,,,24.782897499999997,,,,,33.577756666666666,,,27.884028333333333,,,,,,,,,,22.115448,,,,,,,,,,,,,,,,,,,,,,,,,6.31882,,,,,,,,,,,,34.27669,
South Carolina,,84.18972342857143,81.65297587117347,19.563128164556964,38.06009526,,,,50.192556427272734,,39.34592762376238,,,40.28185666666667,,,,,,48.673962307692314,,,,16.14249269230769,,,,,,,,,92.69685983333333,,75.51487842857144,76.0440319117647,,40.99359906521739,,,,,39.537275375,,,,,,81.63777091666667,,,,1402.8194264285714,,,,,,,,,,,31.263276,25.0072925
Puerto Rico,,,,58.76097,,,,,,,,,,69.578555,,,78.873495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.760305,
Alaska,,43.347805,,,,,,,,,,,,92.765765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0949,,,,,,,,,,,,29.93371647058823,,,,,,,,,,
Hawaii,,93.171645,62.05812053571429,,,,2.504448,,,,,,,77.08931791666667,,,72.50103607142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.12835891304348,,,,,,,,,
West Virginia,,36.9501725,11.131705,34.85445,,,,,,,,,,29.11734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.420532,
Montana,,22.269828333333333,74.8650184375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.994845999999999,,,,,,,
Northwest Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,,,57.825810000000004,,,55.802245,,,,,,,,,,,,,,,,,,,,,,,,,37.74325,,,,,,,,,,,35.408775,,,,,,,36.138415,15.740168833333334,,,,,,,,,,,,,,
Alabama,,,,,,7.9537925000000005,,,,,,,,,,28.159595,,,,,,,17.1244825,8.389235,,,,,,,,,,,,,,,,,,,28.914135,,,,,,,,,,,,,,,,,,,,,12.588695,
Wyoming,,23.877715000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon,,,,,,,,,,,,,,17.783812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington, D.C.",,76.77390903125,76.04312939322917,14.736089278688524,36.209639826086956,,,,46.30280629166666,,32.81384268229167,,17.973315,12.724951666666668,8.284320000000001,26.695882,46.1641445,,32.59303,43.39053714285715,,,20.749915,12.306889,,,12.794742,,,,14.43299625,,84.19645018518518,19.401143454545455,69.38515571428572,80.28925278571428,,39.234872351351356,,,,4.359371666666667,32.08977603030303,,0.766855,50.85799,,,75.9380695,34.47186,,34.27669,31.263276,70.760305,,,36.420532,,,,12.588695,,,,
North Virginia,,82.7781503125,78.26406796875,15.465053816666666,37.121091,,,,48.48723757142857,,31.612100559139783,,,,,,,,,45.06143285714286,,,,,,,,,,,,,90.79360877777779,,69.09978607142857,66.90796185714287,,33.050447250000005,,,,,35.875797075757575,,,,,,74.21246716666667,,,,25.0072925,,,,,,,,,,,,
